epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.9825007319450378,0.9970805048942566,178.0,256.0,0.03088986687362194,0.9795117974281311,0.9856647849082947,12128.0,12239.0,0.9397459030151367,0.972701370716095,82.0,84.0,0.26766642928123474,0.9397417306900024,0.9410919547080994,1279.0,1310.0
1,0.9940125346183777,0.9995994567871094,67.0,65.0,0.01730174757540226,0.9941064715385437,0.9939262270927429,10950.0,10964.0,0.9255898594856262,0.9730237126350403,134.0,71.0,0.3010867238044739,0.9464554786682129,0.9035277366638184,1295.0,1255.0
2,0.9964619278907776,0.9998042583465576,31.0,47.0,0.011332781985402107,0.9957423806190491,0.9971876740455627,10976.0,10992.0,0.9535390138626099,0.9734964966773987,43.0,85.0,0.30349990725517273,0.9408490061759949,0.9691756367683411,1275.0,1352.0
3,0.9976413249969482,0.999883770942688,22.0,30.0,0.006716032046824694,0.9972804188728333,0.9980041980743408,10993.0,11001.0,0.9531760215759277,0.9720525145530701,48.0,81.0,0.3719160258769989,0.9429577589035034,0.9653929471969604,1287.0,1339.0
4,0.9972330331802368,0.999825656414032,35.0,26.0,0.008255520835518837,0.9976391792297363,0.9968245625495911,10998.0,10987.0,0.9306715130805969,0.9745288491249084,130.0,61.0,0.3033061921596527,0.954066276550293,0.9069434404373169,1297.0,1267.0
5,0.9986845850944519,0.9998509287834167,13.0,16.0,0.0050654057413339615,0.9985492825508118,0.998820960521698,11004.0,11013.0,0.948094367980957,0.9721254110336304,73.0,70.0,0.4285484254360199,0.9497487545013428,0.9477077126502991,1289.0,1323.0
6,0.9980041980743408,0.9998437762260437,21.0,23.0,0.005942151416093111,0.99791419506073,0.9980952143669128,10998.0,11004.0,0.9419237971305847,0.9690498113632202,82.0,78.0,0.41709885001182556,0.9438040256500244,0.9410919547080994,1285.0,1310.0
7,0.9976413249969482,0.9999329447746277,24.0,28.0,0.006124065723270178,0.9974605441093445,0.9978225231170654,10996.0,10998.0,0.9484573602676392,0.9710149168968201,75.0,67.0,0.3616522252559662,0.9516594409942627,0.9461979866027832,1294.0,1319.0
8,0.9981856346130371,0.9998940229415894,20.0,20.0,0.005041970405727625,0.9981861114501953,0.9981861114501953,11000.0,11006.0,0.9513611793518066,0.9691945910453796,39.0,95.0,0.479104220867157,0.9337517619132996,0.9716981053352356,1282.0,1339.0
9,0.9980041980743408,0.9997991919517517,20.0,24.0,0.010283324867486954,0.9978241324424744,0.9981861114501953,10996.0,11006.0,0.9506351947784424,0.9723411202430725,48.0,88.0,0.3632711172103882,0.9385474920272827,0.9655172228813171,1275.0,1344.0
0,0.8424657583236694,0.9228244423866272,1681.0,1792.0,0.3528854250907898,0.8390515446662903,0.8475006818771362,9231.0,9342.0,0.9143375754356384,0.9717289209365845,24.0,212.0,0.2663593590259552,0.8658227920532227,0.982758641242981,1151.0,1368.0
1,0.9419849514961243,0.9750776290893555,465.0,814.0,0.1791403442621231,0.9284332394599915,0.9578231573104858,10207.0,10560.0,0.931034505367279,0.9657093286514282,29.0,161.0,0.3774545192718506,0.8946335315704346,0.9792263507843018,1198.0,1367.0
2,0.9506033062934875,0.9818944334983826,402.0,687.0,0.1524202674627304,0.9392573237419128,0.9635373950004578,10334.0,10623.0,0.821052610874176,0.9700634479522705,450.0,43.0,0.366987943649292,0.9563452005386353,0.6767241358757019,1320.0,942.0
3,0.9550939202308655,0.9853774905204773,359.0,631.0,0.13525345921516418,0.9441444873809814,0.9674376249313354,10390.0,10666.0,0.9557169079780579,0.9837181568145752,45.0,77.0,0.15306827425956726,0.9461161494255066,0.9677881002426147,1281.0,1352.0
4,0.9597206115722656,0.9885516166687012,309.0,579.0,0.11924270540475845,0.9487247467041016,0.9719651341438293,10445.0,10713.0,0.9546279311180115,0.9813885688781738,40.0,85.0,0.16030074656009674,0.9410131573677063,0.9713466763496399,1274.0,1356.0
5,0.9642111659049988,0.9899430274963379,265.0,524.0,0.10880852490663528,0.9535666704177856,0.9759659171104431,10496.0,10761.0,0.9542649984359741,0.9822270274162292,45.0,81.0,0.1595560759305954,0.9432375431060791,0.9676491618156433,1283.0,1346.0
